controller,scenario,num_barrels,seed,pid,result
teb,trashcans,3,28,3449,SUCCEEDED
custom_dwa,trashcans,5,28,3601,SUCCEEDED
eband,trashcans,5,28,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,28,3408,TIMED_OUT
teb,trashcans,5,28,3508,SUCCEEDED
dwa,trashcans,7,28,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,28,3283,TIMED_OUT
custom_dwa,trashcans,7,28,3449,SUCCEEDED
eband,trashcans,3,29,3283,ABORTED
eband,trashcans,7,28,3601,SUCCEEDED
dwa,trashcans,3,29,3508,SUCCEEDED
teb,trashcans,7,28,3558,SUCCEEDED
custom_dwa,trashcans,3,29,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,28,3304,TIMED_OUT
teb,trashcans,3,29,3449,SUCCEEDED
dwa,trashcans,5,29,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,29,3408,TIMED_OUT
custom_dwa,trashcans,5,29,3508,SUCCEEDED
eband,trashcans,5,29,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,29,3283,TIMED_OUT
dwa,trashcans,7,29,3449,SUCCEEDED
custom_dwa,trashcans,7,29,3601,SUCCEEDED
teb,trashcans,5,29,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,29,3304,TIMED_OUT
dwa,trashcans,3,30,3283,SUCCEEDED
custom_dwa,trashcans,3,30,3449,SUCCEEDED
eband,trashcans,7,29,3408,TIMED_OUT
teb,trashcans,7,29,3508,SUCCEEDED
eband,trashcans,3,30,3601,SUCCEEDED
teb,trashcans,3,30,3354,SUCCEEDED
dwa,trashcans,5,30,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,30,3558,TIMED_OUT
custom_dwa,trashcans,5,30,3449,SUCCEEDED
eband,trashcans,5,30,3408,SUCCEEDED
dwa,trashcans,7,30,3354,SUCCEEDED
teb,trashcans,5,30,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,30,3304,TIMED_OUT
custom_dwa,trashcans,7,30,3283,SUCCEEDED
eband,trashcans,7,30,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,31,3408,SUCCEEDED
dwa,trashcans,3,31,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,30,3601,TIMED_OUT
custom_dwa,trashcans,3,31,3508,SUCCEEDED
teb,trashcans,7,30,3449,SUCCEEDED
eband,trashcans,3,31,3304,SUCCEEDED
teb,trashcans,3,31,3283,SUCCEEDED
dwa,trashcans,5,31,3408,SUCCEEDED
custom_dwa,trashcans,5,31,3354,SUCCEEDED
eband,trashcans,5,31,3601,SUCCEEDED
teb,trashcans,5,31,3508,SUCCEEDED
dwa,trashcans,7,31,3304,SUCCEEDED
custom_dwa,trashcans,7,31,3283,SUCCEEDED
baseLocalPlanner,trashcans,5,31,3558,TIMED_OUT
eband,trashcans,7,31,3408,SUCCEEDED
dwa,trashcans,3,32,3508,SUCCEEDED
teb,trashcans,7,31,3354,SUCCEEDED
custom_dwa,trashcans,3,32,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,31,3449,TIMED_OUT
eband,trashcans,3,32,3283,SUCCEEDED
teb,trashcans,3,32,3558,SUCCEEDED
dwa,trashcans,5,32,3508,SUCCEEDED
custom_dwa,trashcans,5,32,3354,SUCCEEDED
baseLocalPlanner,trashcans,3,32,3601,TIMED_OUT
teb,trashcans,5,32,3449,SUCCEEDED
